Logopaede*in (freiberuflich oder Kassenvertrag), Kirchdorf an der Krems;Lebenshilfe Oberoesterreich; Kirchdorf an der Krems; Teilzeit;23.05. 
Radiologietechnolog:in;Dr. Wallentin Dieter; Vollzeit; Teilzeit;21.05. 
MESSTECHNIKER SERIE (w/m/d);Randstad Austria GmbH | Linz; Kirchdorf an der Krems; Vollzeit;24.05. 
Hoerakustiker (m/w/d) in Dualer Ausbildung;Neuroth International AG; Kirchdorf an der Krems; Vollzeit;24.05. 
Betriebsschlosser (m/w/d);AKZENTE PersonalbereitstellungsgesmbH; Kirchdorf an der Krems; Vollzeit;24.05. 
Produktionsmitarbeiter (m/w/d) (22513);ACTIEF JOBMADE GmbH; Ried im Traunkreis; Vollzeit;24.05. 
Marketingmitarbeiter (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;24.05. 
VERKAEUFER (M/W/D);Forstinger Oesterreich GmbH; Wolfsberg; Vollzeit;24.05. 
KFZ-Techniker fuer Fahrzeugbau (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;24.05. 
Hofmitarbeiter(m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;24.05. 
KFZ-Techniker fuer LKW-Werkstatt (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;24.05. 
KFZ-Meister fuer LKW-Werkstatt (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;24.05. 
Aerztin/Arzt in Ausbildung zur/zum Fachaerztin/arzt fuer Allgemeinchirurgie und Viszeralchirurgie;Oberoesterreichische Gesundheitsholding GmbH; Vollzeit; Teilzeit;24.05. 
Service - Techniker / Mechatroniker / Elektriker (m/w/d);Maschinenring Personal u Service eGen; Pettenbach; Vollzeit;24.05. 
Sozialpaedagog:in Einzelwohnbetreuung Schlierbach;Diakonie Zentrum Spattstrasse gemeinnuetzige GmbH; Vollzeit; Teilzeit;24.05. 
Lehrling Betriebslogistikkauffrau /-mann (w/m/d);Brau Union Oesterreich; Ried im Traunkreis; Vollzeit;24.05. 
Zusteller*in (w/m/d) 4563 Micheldorf;Oesterreichische Post Aktiengesellschaft; Micheldorf; Vollzeit;24.05. 
Leiter*in Finanzbuchhaltung;eXperts consulting center (eine Business Unit der I. K. Hofmann GmbH); Kirchdorf an der Krems; Vollzeit;24.05. 
Schweisser (m/w/d);teampool personal service gmbh; Ried im Traunkreis; Vollzeit;24.05. 
Mitarbeiter*in zur Unterstuetzung bei der alltaeglichen Begleitung (m/w/d);pro mente OOE; Kirchdorf an der Krems; Vollzeit;24.05. 
Verkaeufer:in Theke;BILLA AG; Inzersdorf im Kremstal; Teilzeit;24.05. 
Sachbearbeiter*in Logistik Tourenplanung (w/m/d);Brau Union Oesterreich; Ried im Traunkreis; Vollzeit;23.05. 
Firmenkundenbetreuer:in;Raiffeisen Oberoesterreich; Kirchdorf an der Krems; Vollzeit;23.05. 
Maschinist & Anlagenbediener (m/w/d);Maschinenring Personal u Service eGen; Schlierbach; Vollzeit;23.05. 
Zimmerer Hilfskraft (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;23.05. 
Koch (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Teilzeit;23.05. 
Elektroinstallationstechniker (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;23.05. 
Logopaede*in (freiberuflich oder Kassenvertrag), Kirchdorf an der Krems;Lebenshilfe Oberoesterreich; Kirchdorf an der Krems; Teilzeit;23.05. 
Radiologietechnolog:in;Dr. Wallentin Dieter; Vollzeit; Teilzeit;21.05. 
Elektroinstallationstechniker (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;23.05. 
LKW-Fahrer (m/w/d);Maschinenring Personal u Service eGen; Pettenbach; Vollzeit;23.05. 
Montagemitarbeiter fuer Terrassen und Holzboeden (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;23.05. 
CNC-Zerspanungstechniker (m/w/d);Maschinenring Personal u Service eGen; Molln; Vollzeit;23.05. 
Sommerverstaerkung Zusteller*in (w/m/d) Raum 4643 Pettenbach und Raum 4870 Voecklamarkt;Oesterreichische Post Aktiengesellschaft; Pettenbach; Vollzeit;23.05. 
Sommerverstaerkung Zusteller*in (w/m/d) Raum 4400 Steyr und Raum 4540 Bad Hall;Oesterreichische Post Aktiengesellschaft; Windischgarsten; Vollzeit;23.05. 
Mitarbeiter Essensausgabe (m/w/d);Maschinenring Personal u Service eGen; Sankt Pankraz; Teilzeit;23.05. 
Lehre Einzelhandel - Digitaler Verkauf;Deichmann GmbH; Micheldorf; Vollzeit;23.05. 
Koch (m/w/d);Maschinenring Personal u Service eGen; Sankt Pankraz; Vollzeit;23.05. 
Produktionsmitarbeiter (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;23.05. 
Tankstellenkassier (m/w/d);Maschinenring Personal u Service eGen; Sankt Pankraz; Vollzeit;23.05. 
Reinigungskraft (m/w/d);Maschinenring Personal u Service eGen; Sankt Pankraz; Vollzeit;23.05. 
Heimhelfer*in (m/w/d);Volkshilfe Oberoesterreich; Kirchdorf an der Krems; Teilzeit;23.05. 
Schalungsbauer - Betonfertigungstechniker (m/w/d);Maschinenring Personal u Service eGen; Wartberg an der Krems; Vollzeit;23.05. 
Schlosser am Lagerplatz (m/w/d);Maschinenring Personal u Service eGen; Wartberg an der Krems; Vollzeit;23.05. 
Verkaeufer:in;BILLA AG; Gruenburg; Vollzeit;23.05. 
Logopaede*in (freiberuflich oder Kassenvertrag), Kirchdorf an der Krems;Lebenshilfe Oberoesterreich; Kirchdorf an der Krems; Teilzeit;23.05. 
LKW-Fahrer (m/w/d);Maschinenring Personal u Service eGen; Vollzeit; Teilzeit;23.05. 
Teilzeit Verkaufsberater*in Filiale (w/m/d) 4560 Kirchdorf (20 WSt.);Oesterreichische Post Aktiengesellschaft; Kirchdorf an der Krems; Teilzeit;23.05. 
Reinigungskraft (m/w/d);Maschinenring Personal u Service eGen; Windischgarsten; Teilzeit;22.05. 
Betriebsschlosser (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;22.05. 
Verkaufskraft (m/w/d);Maschinenring Personal u Service eGen; Windischgarsten; Teilzeit;22.05. 
PhysiotherapeutIn;Oberoesterreichische Gesundheitsholding GmbH; Vollzeit; Teilzeit;22.05. 
Kuechenhilfskraft m/w/d als Krankenstandsvertretung, Arbeit & Integrative Beschaeftigung Pettenbach;Lebenshilfe Oberoesterreich; Pettenbach; Teilzeit;22.05. 
Produktionsarbeiter (m/w/d) fuer die Metallindustrie;Randstad Austria GmbH | Trieben; Spital am Pyhrn; Vollzeit;22.05. 
Logopaede*in (freiberuflich oder Kassenvertrag), Kirchdorf an der Krems;Lebenshilfe Oberoesterreich; Kirchdorf an der Krems; Teilzeit;23.05. 
Radiologietechnolog:in;Dr. Wallentin Dieter; Vollzeit; Teilzeit;21.05. 
Prozesstechniker (m/w/d);MLS Personaldienstleistung GmbH; Kirchdorf an der Krems; Vollzeit;22.05. 
Kassierer:in - 20-25 Stunden;SPAR Oesterreichische Warenhandels-AG; Kirchdorf an der Krems; Teilzeit;22.05. 
Mitarbeiter:in Verkauf - 20-25 Stunden;SPAR Oesterreichische Warenhandels-AG; Kirchdorf an der Krems; Teilzeit;22.05. 
Privatkundenbetreuer:in;Raiffeisen Oberoesterreich; Wartberg an der Krems; Vollzeit;22.05. 
Shop-Mitarbeiter;Stiglechner Tankstellen GmbH; Sankt Pankraz; Vollzeit;22.05. 
Kellner;Stiglechner Tankstellen GmbH; Sankt Pankraz; Vollzeit;22.05. 
Reinigungspersonal m/w/d;elefantenstark gmbh & co og; Kremsmuenster; Teilzeit;22.05. 
Verkaeufer:in Fokus Kassa Samstag;BILLA AG; Windischgarsten; Geringfuegig;22.05. 
Lagermitarbeiter (m/w/d);Moebelix GmbH; Vollzeit; Teilzeit;22.05. 
Kuechenhilfe;Stiglechner Tankstellen GmbH; Sankt Pankraz; Vollzeit;22.05. 
Teilzeit Vorsortierkraft (w/m/d) 4580 Windischgarsten (ab 20 Wst.);Oesterreichische Post Aktiengesellschaft; Windischgarsten; Teilzeit;22.05. 
Zusteller*in (w/m/d) 4580 Windischgarsten;Oesterreichische Post Aktiengesellschaft; Windischgarsten; Vollzeit;22.05. 
Reinigungskraft;Stiglechner Tankstellen GmbH; Sankt Pankraz; Vollzeit;22.05. 
Produktionsmitarbeiter - Schmelzerei (m/w/d);MLS Personaldienstleistung GmbH; Kirchdorf an der Krems; Vollzeit;22.05. 
Samstagszusteller*in (w/m/d) 4563 Micheldorf (6 Wst.);Oesterreichische Post Aktiengesellschaft; Micheldorf; Geringfuegig;22.05. 
Messtechniker (m/w/d);MLS Personaldienstleistung GmbH; Kirchdorf an der Krems; Vollzeit;22.05. 
Samstagszusteller*in (w/m/d) 4580 Windischgarsten (6 Wst.);Oesterreichische Post Aktiengesellschaft; Windischgarsten; Geringfuegig;22.05. 
Ausgabemitarbeiter;Stiglechner Tankstellen GmbH; Sankt Pankraz; Vollzeit;22.05. 
Koch (Sous Chef, Chef de partie);Stiglechner Tankstellen GmbH; Sankt Pankraz; Vollzeit;22.05. 
Mitarbeiter:in Verkauf Obst und Gemuese - 15-30 Stunden;SPAR Oesterreichische Warenhandels-AG; Wartberg an der Krems; Teilzeit;22.05. 
Kassierer:in - 20-30 Stunden;SPAR Oesterreichische Warenhandels-AG; Windischgarsten; Teilzeit;22.05. 
Kassierer:in - 15-30 Stunden;SPAR Oesterreichische Warenhandels-AG; Wartberg an der Krems; Teilzeit;22.05. 
Fleischverarbeiter (m/w/d);Maschinenring Personal u Service eGen; Kirchdorf an der Krems; Vollzeit;22.05. 
MitarbeiterIn fuer PatientInnenadministration und Rezeption;Oberoesterreichische Gesundheitsholding GmbH; Kirchdorf an der Krems; Vollzeit;22.05. 
gruppenfuehrende*r Hortpaedagog*in Kremsmuenster;Caritas Oberoesterreich; Kremsmuenster; Teilzeit;21.05. 
Logopaede*in (freiberuflich oder Kassenvertrag), Kirchdorf an der Krems;Lebenshilfe Oberoesterreich; Kirchdorf an der Krems; Teilzeit;23.05. 
Radiologietechnolog:in;Dr. Wallentin Dieter; Vollzeit; Teilzeit;21.05. 
Marktmanager:in Stellvertretung;BILLA AG; Inzersdorf im Kremstal; Vollzeit;21.05. 
Sozialpaedagog:in SFB Schlierbach;Diakonie Zentrum Spattstrasse gemeinnuetzige GmbH; Vollzeit; Teilzeit;21.05. 
Einrichtungsberater (m/w/d);Moebelix GmbH; Micheldorf; Teilzeit;21.05. 
Mitarbeiter:in Verkauf - SAMSTAG 6-9 Stunden;SPAR Oesterreichische Warenhandels-AG; Windischgarsten; Geringfuegig;21.05. 
Junior Projektleiter Elektrotechnik (m/w/d);Maschinenring Personal u Service eGen; Ried im Traunkreis; Vollzeit;21.05. 
Projektleiter Automatisierungstechnik (m/w/d);Maschinenring Personal u Service eGen; Ried im Traunkreis; Vollzeit;21.05. 
Schaltschrankbauer (m/w/d);Maschinenring Personal u Service eGen; Ried im Traunkreis; Vollzeit;21.05. 
SPS-Programmierer (m/w/d);Maschinenring Personal u Service eGen; Ried im Traunkreis; Vollzeit;21.05. 
Montagehelfer (m/w/d);Maschinenring Personal u Service eGen; Pettenbach; Vollzeit;21.05. 
EPLAN Konstrukteur (m/w/d);Maschinenring Personal u Service eGen; Vollzeit; Teilzeit;21.05. 
Mitarbeiter:in Verkauf Trockensortiment - 15-20 Stunden;SPAR Oesterreichische Warenhandels-AG; Windischgarsten; Teilzeit;21.05. 
Kassierer:in - 15-20 Stunden;SPAR Oesterreichische Warenhandels-AG; Windischgarsten; Teilzeit;21.05. 
Aerztin/Arzt in Ausbildung zur/zum Fachaerztin/arzt fuer Orthopaedie und Traumatologie;Oberoesterreichische Gesundheitsholding GmbH; Kirchdorf an der Krems; Vollzeit;21.05. 
gruppenfuehrende*r Hortpaedagog*in Windischgarsten;Caritas Oberoesterreich; Windischgarsten; Teilzeit;21.05. 
Assistenzpaedagog*in Integration Steinbach/Zbg.;Caritas Oberoesterreich; Steinbach am Ziehberg; Teilzeit;21.05. 
Lagerarbeiter;Oberngruber Logistik GmbH; Waldneukirchen; Vollzeit;21.05. 
Radiologietechnolog:in;Dr. Wallentin Dieter; Vollzeit; Teilzeit;21.05. 
Diplomierte*r Gesundheits- und Krankenpfleger*in (m/w/d);Volkshilfe Oberoesterreich; Spital am Pyhrn; Teilzeit;21.05. 
Staplerfahrer (m/w/d);MLS Personaldienstleistung GmbH; Kirchdorf an der Krems; Vollzeit;21.05. 
Hoergeraeteakustiker*in (m/w/d) - ab 20 Stunden/Woche bis Vollzeit;Hartlauer HandelsgesmbH; Vollzeit; Teilzeit;21.05. 
Assistenzpaedagog*in Alterserweiterung U3 Steinbach/Zbg.;Caritas Oberoesterreich; Vollzeit; Teilzeit;21.05. 
